Ward_name,Old_code,New_code,Population_2015,%_Al_Children0_15,%_All_Older_people_aged_65+,Population_density,%_children_obese,%_children_in_year_6_obese
Kingston upon Thames - Chessington South,00AXGC,E05000405,10550,20.9,14.4,1375,8.1,24.6
Kingston upon Thames - Coombe Hill,00AXGD,E05000406,10750,18.3,14.9,2420.5,4.9,21.4
Kingston upon Thames - Coombe Vale,00AXGE,E05000407,10050,20.6,14.2,6250,5.2,12.7
Kingston upon Thames - Grove,00AXGF,E05000408,11800,16.8,8.8,6105.3,6,18.9
Kingston upon Thames - Norbiton,00AXGG,E05000409,10600,20.1,9.2,8076.9,11.3,19.6
Kingston upon Thames - Old Malden,00AXGH,E05000410,9700,19,18.1,5361.1,6.7,16.4
Kingston upon Thames - St. James,00AXGJ,E05000411,9250,18.2,18.1,4181.8,5.9,14.8
Kingston upon Thames - St. Mark's,00AXGK,E05000412,10900,12.2,8.3,7785.7,2.9,8.7
Kingston upon Thames - Surbiton Hill,00AXGL,E05000413,10950,17.4,13.5,6352.9,4.2,9.8
Kingston upon Thames - Tolworth and Hook Rise,00AXGM,E05000414,10650,20.1,13.8,3961.5,4.9,15.2
Kingston upon Thames - Tudor,00AXGN,E05000415,9850,22,14.9,6125,3.3,11.6
Lambeth - Bishop's,00AYFZ,E05000416,11400,10.9,8.2,7066.7,15.6,22.2
Lambeth - Brixton Hill,00AYGA,E05000417,16650,16,6.7,14863.6,9.9,20.2
Lambeth - Clapham Common,00AYGB,E05000418,13600,15.8,7.1,10192.3,12.7,20.2
Lambeth - Clapham Town,00AYGC,E05000419,14850,14.3,6.7,13045.5,12,24.5
Lambeth - Coldharbour,00AYGD,E05000420,17500,20.2,6.1,14333.3,12.9,24.3
Lambeth - Ferndale,00AYGE,E05000421,16400,12.5,5.9,17555.6,15.2,32.6
Lambeth - Gipsy Hill,00AYGF,E05000422,13900,22.7,8.4,8625,13.3,27.5
Lambeth - Herne Hill,00AYGG,E05000423,15600,19,7.6,7700,9.9,19.5
Lambeth - Knight's Hill,00AYGH,E05000424,15200,22.6,9.2,9966.7,9.1,21.3
Lambeth - Larkhall,00AYGJ,E05000425,18000,16,6.4,16181.8,10.8,28.6
Lambeth - Oval,00AYGK,E05000426,16600,13.7,7,12269.2,9.9,25.2
Lambeth - Prince's,00AYGL,E05000427,15400,16.5,9.2,12458.3,10,23.9
Lambeth - St. Leonard's,00AYGM,E05000428,15200,18.3,7.7,10642.9,8.8,20.9
Lambeth - Stockwell,00AYGN,E05000429,15250,18.4,7.1,16777.8,15,25.7
Lambeth - Streatham Hill,00AYGP,E05000430,15150,18,8.2,11307.7,13.2,20.9
Lambeth - Streatham South,00AYGQ,E05000431,14750,20,11.2,8558.8,9.5,23.9
Lambeth - Streatham Wells,00AYGR,E05000432,15250,19.8,8.3,10066.7,9.6,20.9
Lambeth - Thornton,00AYGS,E05000433,14000,19.9,7.6,12045.5,9.7,26.6
Lambeth - Thurlow Park,00AYGT,E05000434,13800,22.7,9.6,9133.3,8.9,18.2
Lambeth - Tulse Hill,00AYGU,E05000435,16250,20.3,6.7,16000,13.6,27.1
Lambeth - Vassall,00AYGW,E05000436,15600,16.5,7.2,13590.9,15.4,27.7
Lewisham - Bellingham,00AZGD,E05000437,15300,24.1,10.4,4854.8,11.9,28.2
Lewisham - Blackheath,00AZGE,E05000438,15000,18.1,10.5,6304.3,9.6,22.6
Lewisham - Brockley,00AZGF,E05000439,18550,15.8,6.1,10558.8,9.8,24.8
Lewisham - Catford South,00AZGG,E05000440,15650,20.6,11.5,8157.9,10.5,23.5
Lewisham - Crofton Park,00AZGH,E05000441,15350,20.8,9.5,8882.4,6.8,19.6
Lewisham - Downham,00AZGJ,E05000442,15000,23.4,12.4,6145.8,12.2,26.7
Lewisham - Evelyn,00AZGK,E05000443,18550,22.9,5.8,9777.8,13.4,27
Lewisham - Forest Hill,00AZGL,E05000444,15300,21.5,9.8,8388.9,9,22
Lewisham - Grove Park,00AZGM,E05000445,15100,20.5,12.4,6208.3,10.6,24.2
Lewisham - Ladywell,00AZGN,E05000446,15200,17.9,8.9,9281.3,7.3,26.8
Lewisham - Lee Green,00AZGP,E05000447,15050,20,11.4,8222.2,8.6,18.8
Lewisham - Lewisham Central,00AZGQ,E05000448,20250,20,7.4,8976.2,12,25.3
Lewisham - New Cross,00AZGR,E05000449,17650,20,5.5,9305.6,15.6,27.5
Lewisham - Perry Vale,00AZGS,E05000450,16050,20.8,9.7,9323.5,9.7,24
Lewisham - Rushey Green,00AZGT,E05000451,16650,22.7,8.2,8777.8,13.7,20.1
Lewisham - Sydenham,00AZGU,E05000452,16150,20.7,11.4,9352.9,10.6,27.5
Lewisham - Telegraph Hill,00AZGW,E05000453,17250,18.8,7.1,11233.3,11.3,23.4
Lewisham - Whitefoot,00AZGX,E05000454,15050,24.2,10.6,6659.1,12.6,24.9
Merton - Abbey,00BAFX,E05000455,10600,18.6,8.7,7607.1,4.1,14.7
Merton - Cannon Hill,00BAFY,E05000456,9500,17.9,17.7,4340.9,6.2,22
Merton - Colliers Wood,00BAFZ,E05000457,11250,16.7,8.6,10181.8,10.5,17.3
Merton - Cricket Green,00BAGA,E05000458,11800,24.1,11.2,3933.3,11.9,24
Merton - Dundonald,00BAGB,E05000459,9650,18.8,10.5,8000,n/a,11.9
Merton - Figge's Marsh,00BAGC,E05000460,11700,24.5,9.7,10545.5,13.5,27
Merton - Graveney,00BAGD,E05000461,10100,19.8,11.7,11222.2,12.4,27.2
Merton - Hillside,00BAGE,E05000462,9250,15,14.1,7708.3,5.1,n/a
Merton - Lavender Fields,00BAGF,E05000463,10650,21.4,8.2,8875,12.7,25.5
Merton - Longthornton,00BAGG,E05000464,10500,21.6,11.2,6966.7,14.6,23.5
Merton - Lower Morden,00BAGH,E05000465,9350,18.9,16.4,5194.4,9.3,18.1
Merton - Merton Park,00BAGJ,E05000466,9750,19.9,15.9,5444.4,4.7,11.5
Merton - Pollards Hill,00BAGK,E05000467,10800,23.7,10.8,4863.6,10.9,26.2
Merton - Ravensbury,00BAGL,E05000468,10250,21.7,13,5694.4,12.4,24.2
Merton - Raynes Park,00BAGM,E05000469,10000,20.5,14.2,5263.2,2,11.8
Merton - St. Helier,00BAGN,E05000470,10650,22,13.4,5944.4,11.9,21.8
Merton - Trinity,00BAGP,E05000471,10000,20.5,8.8,9136.4,6.4,17.1
Merton - Village,00BAGQ,E05000472,8750,18.9,20.3,1411.3,n/a,n/a
Merton - West Barnes,00BAGR,E05000473,10200,20.9,14.5,5075,5.5,18
Merton - Wimbledon Park,00BAGS,E05000474,11500,23.6,9.1,5021.7,4.2,13.3
Newham - Beckton,00BBGB,E05000475,16700,22,4.9,2539.7,13,21.4
Newham - Boleyn,00BBGC,E05000476,16350,24.9,8.1,18055.6,13,29.1
Newham - Canning Town North,00BBGD,E05000477,16650,21.4,7.6,6300,15,29.5
Newham - Canning Town South,00BBGE,E05000478,20350,19.8,6.1,10166.7,14.3,27.8
Newham - Custom House,00BBGF,E05000479,14850,23.5,6.7,6738.1,12.2,26.5
Newham - East Ham Central,00BBGG,E05000480,16200,22.4,7.5,16200,13.4,26.1
Newham - East Ham North,00BBGH,E05000481,14250,21.5,7.8,15722.2,10.7,24.9
Newham - East Ham South,00BBGJ,E05000482,16250,26.3,7.3,8861.1,10.4,26.5
Newham - Forest Gate North,00BBGK,E05000483,16550,21.2,7.4,13750,16.2,24.3
Newham - Forest Gate South,00BBGL,E05000484,18150,20.2,6.4,14875,10.7,27.7
Newham - Green Street East,00BBGM,E05000485,16250,22.3,6.2,23071.4,9.5,25.8
Newham - Green Street West,00BBGN,E05000486,15500,21.5,7.8,19187.5,12.6,20.8
Newham - Little Ilford,00BBGP,E05000487,17100,27.9,6.7,8921.1,12.8,26.5
Newham - Manor Park,00BBGQ,E05000488,15600,24,7.1,11923.1,10.9,26.1
Newham - Plaistow North,00BBGR,E05000489,15800,23.4,7.6,15700,13,23.7
Newham - Plaistow South,00BBGS,E05000490,16800,27.9,6.5,11892.9,14.7,27.6
Newham - Royal Docks,00BBGT,E05000491,16550,20.8,3.7,2843.8,12.4,31.4
Newham - Stratford and New Town,00BBGU,E05000492,26700,13.9,4.7,5333.3,11.3,23
Newham - Wall End,00BBGW,E05000493,15150,25.4,6.8,10750,10.2,24.3
Newham - West Ham,00BBGX,E05000494,16150,20.3,7.6,12269.2,14.5,27.2
Redbridge - Aldborough,00BCFY,E05000495,15800,22.3,12,1796.5,11.5,21.4
Redbridge - Barkingside,00BCFZ,E05000496,13150,19.7,15,8766.7,7.6,21.5
Redbridge - Bridge,00BCGA,E05000497,11850,20,14.8,4596.2,9.6,17.9
Redbridge - Chadwell,00BCGB,E05000498,14850,25.4,10.1,9900,13.6,27.4
Redbridge - Church End,00BCGC,E05000499,11900,19.5,12.4,7966.7,7.9,15.6
Redbridge - Clayhall,00BCGD,E05000500,13600,19.5,15.4,5480,6.9,23.1
Redbridge - Clementswood,00BCGE,E05000501,16950,27.9,7.4,12423.1,10.9,20.9
Redbridge - Cranbrook,00BCGF,E05000502,13300,21.6,12.7,5562.5,12.2,18.7
Redbridge - Fairlop,00BCGG,E05000503,12900,20.8,13.9,3611.1,11.3,26.5
Redbridge - Fullwell,00BCGH,E05000504,13150,20.9,15.8,6045.5,9.8,26.3
Redbridge - Goodmayes,00BCGJ,E05000505,13400,25.3,8.5,8437.5,13,22.5
Redbridge - Hainault,00BCGK,E05000506,13550,22.7,14.1,2410.7,9.7,26.2
Redbridge - Loxford,00BCGL,E05000507,17700,29.2,6.9,13423.1,11.8,25.7
Redbridge - Mayfield,00BCGM,E05000508,13950,24.4,11.8,7394.7,12.6,23.1
Redbridge - Monkhams,00BCGN,E05000509,10650,16.5,21.8,3451.6,7.5,12.3
Redbridge - Newbury,00BCGP,E05000510,17450,24.8,9.8,8309.5,14.9,22.4
Redbridge - Roding,00BCGQ,E05000511,12550,23.3,11,5434.8,8.9,21.3
Redbridge - Seven Kings,00BCGR,E05000512,16950,24.9,9,7809.5,8.9,26.1
Redbridge - Snaresbrook,00BCGS,E05000513,12100,17.8,16.8,6100,5.6,13.8
Redbridge - Valentines,00BCGT,E05000514,15050,26.2,8.8,9900,9.7,24.6
Redbridge - Wanstead,00BCGU,E05000515,11700,20,16.5,2278.8,9.5,18.6
Richmond upon Thames - Barnes,00BDFW,E05000516,10500,19.9,16,3500,4.8,14.7
Richmond upon Thames - East Sheen,00BDFX,E05000517,10500,23.6,15.7,1810.3,5,7.6
Richmond upon Thames - Fulwell and Hampton Hill,00BDFY,E05000518,10300,21.8,14.1,5421.1,5.6,9
"Richmond upon Thames - Ham, Petersham & Richmond Riverside",00BDFZ,E05000519,10550,19,17.8,1122.3,5,13.2
Richmond upon Thames - Hampton,00BDGA,E05000520,10250,20.1,18.2,1478.3,5.3,14.6
Richmond upon Thames - Hampton North,00BDGB,E05000521,9600,19.4,17.2,5052.6,7.8,19.7
Richmond upon Thames - Hampton Wick,00BDGC,E05000522,10550,20.3,13.9,3888.9,6.4,10.1
Richmond upon Thames - Heathfield,00BDGD,E05000523,10600,19.9,16,5552.6,9.6,18.9
Richmond upon Thames - Kew,00BDGE,E05000524,11650,21,15.2,3236.1,3.5,12.6
Richmond upon Thames - Mortlake and Barnes Common,00BDGF,E05000525,11100,23.4,12.7,5815.8,5.3,11.3
Richmond upon Thames - North Richmond,00BDGG,E05000526,11050,19.9,14.5,3910.7,4.7,11.2
Richmond upon Thames - St. Margarets & North Twickenham,00BDGH,E05000527,11800,23.1,9.2,5775,4,8.9
Richmond upon Thames - South Richmond,00BDGJ,E05000528,11100,17.1,14.2,4092.6,4.7,9.9
Richmond upon Thames - South Twickenham,00BDGK,E05000529,10100,19.6,11.8,5970.6,5.8,8.7
Richmond upon Thames - Teddington,00BDGL,E05000530,10550,19.3,15.2,2453.5,7.4,5.9
Richmond upon Thames - Twickenham Riverside,00BDGM,E05000531,10650,19,12.9,5325,3.2,7.6
Richmond upon Thames - West Twickenham,00BDGN,E05000532,10750,22.5,12.7,4280,5.3,10.8
Richmond upon Thames - Whitton,00BDGP,E05000533,10050,19.1,17.9,6250,9.3,14.5
Southwark - Brunswick Park,00BEGC,E05000534,13600,19.8,7.1,14833.3,11.9,27.4
Southwark - Camberwell Green,00BEGD,E05000535,15950,21.3,7,15450,16.3,31.7
Southwark - Cathedrals,00BEGE,E05000536,17250,9.9,7,9027.8,11.4,22.8
Southwark - Chaucer,00BEGF,E05000537,16200,14.3,5.2,19750,12.8,23.3
Southwark - College,00BEGG,E05000538,11900,20.6,12,3687.5,14.1,24.7
Southwark - East Dulwich,00BEGH,E05000539,12400,20,9.1,12250,5.9,19.3
Southwark - East Walworth,00BEGJ,E05000540,13850,17.8,7.8,11545.5,16.4,35
Southwark - Faraday,00BEGK,E05000541,13050,23,7.5,14333.3,19,30.2
Southwark - Grange,00BEGL,E05000542,17600,14.1,5.7,13750,14.3,27.1
Southwark - Livesey,00BEGM,E05000543,15000,22.9,8.6,10357.1,15,31.6
Southwark - Newington,00BEGN,E05000544,15500,16.9,8,18562.5,13.7,26.6
Southwark - Nunhead,00BEGP,E05000545,13850,20.7,9,10538.5,14.5,24.8
Southwark - Peckham,00BEGQ,E05000546,15350,23.7,7.2,16666.7,15.9,30.1
Southwark - Peckham Rye,00BEGR,E05000547,13550,21.7,8.5,5847.8,9.2,19.7
Southwark - Riverside,00BEGS,E05000548,16600,13.6,6.4,11923.1,9.8,24.1
Southwark - Rotherhithe,00BEGT,E05000549,15050,17.7,6.9,9600,10.3,31.6
Southwark - South Bermondsey,00BEGU,E05000550,14400,19.8,7.4,14050,11.2,29.6
Southwark - South Camberwell,00BEGW,E05000551,13200,19.2,7.3,9884.6,10.2,23.9
Southwark - Surrey Docks,00BEGX,E05000552,15400,12.7,6.1,7605.3,8.5,23.2
Southwark - The Lane,00BEGY,E05000553,16450,21.6,8.8,11357.1,13.2,29.2
Southwark - Village,00BEGZ,E05000554,12500,22.3,12,4446.4,6.6,12
Sutton - Beddington North,00BFGC,E05000555,10550,20.7,14.5,2110,6.3,20.4
Sutton - Beddington South,00BFGD,E05000556,10900,21.4,15.9,3548.4,8.6,21.8
Sutton - Belmont,00BFGE,E05000557,10350,18.5,17.6,4500,7.9,17.2
Sutton - Carshalton Central,00BFGF,E05000558,10400,19.8,15.3,5200,6.4,13.1
Sutton - Carshalton South and Clockhouse,00BFGG,E05000559,10200,20.8,16.9,1422.5,5.9,14.6
Sutton - Cheam,00BFGH,E05000560,10550,18.5,20.3,2705.1,7.1,12.5
Sutton - Nonsuch,00BFGJ,E05000561,10900,17.5,18.9,5736.8,4.6,10.7
Sutton - St. Helier,00BFGK,E05000562,12300,24.7,10.7,8200,11.5,26.5
Sutton - Stonecot,00BFGL,E05000563,11000,18.7,16,5500,8.5,20.3
Sutton - Sutton Central,00BFGM,E05000564,11550,21.4,11.2,8769.2,9.1,20.6
Sutton - Sutton North,00BFGN,E05000565,10600,20.9,17.4,5605.3,9.5,20.2
Sutton - Sutton South,00BFGP,E05000566,10000,16.9,17,7653.8,8.2,18.2
Sutton - Sutton West,00BFGQ,E05000567,10900,18.6,14.2,6055.6,8.3,17.2
Sutton - The Wrythe,00BFGR,E05000568,10500,20.2,14.1,7000,8,24
Sutton - Wallington North,00BFGS,E05000569,10900,20.8,14,6843.8,7.2,15.7
Sutton - Wallington South,00BFGT,E05000570,10650,18.8,17.5,6235.3,8.3,24.5
Sutton - Wandle Valley,00BFGU,E05000571,12250,24.5,9.2,5761.9,10,22.8
Sutton - Worcester Park,00BFGW,E05000572,11950,22.1,14.4,5975,8,18.2
Tower Hamlets - Bethnal Green North,00BGFW,E05000573,14750,17.8,6.5,17812.5,15.5,25.7
Tower Hamlets - Bethnal Green South,00BGFX,E05000574,15150,19,4.9,16333.3,14.5,24.7
Tower Hamlets - Blackwall and Cubitt Town,00BGFY,E05000575,23250,18.8,4.7,7116.7,10.8,25.5
Tower Hamlets - Bow East,00BGFZ,E05000576,15650,17.7,6.8,8026.3,14.3,24.8
Tower Hamlets - Bow West,00BGGA,E05000577,13650,19.6,7.7,10230.8,10.6,22.8
Tower Hamlets - Bromley-by-Bow,00BGGB,E05000578,19750,24.6,5,15500,12.5,24.2
Tower Hamlets - East India and Lansbury,00BGGC,E05000579,16550,25.8,6.1,13000,12.8,24.5
Tower Hamlets - Limehouse,00BGGD,E05000580,17100,22.1,5.6,15000,12.5,28.1
Tower Hamlets - Mile End and Globe Town,00BGGE,E05000581,16200,18.3,5.8,17555.6,13.4,24.4
Tower Hamlets - Mile End East,00BGGF,E05000582,15200,22.4,5.3,12954.5,11.8,30
Tower Hamlets - Millwall,00BGGG,E05000583,26350,17,3.7,9860,9,25.9
Tower Hamlets - St. Dunstan's and Stepney Green,00BGGH,E05000584,17100,22.2,7.6,16650,12.4,26.1
Tower Hamlets - St. Katherine's and Wapping,00BGGJ,E05000585,13550,14.8,6.5,8633.3,10.7,20.6
Tower Hamlets - Shadwell,00BGGK,E05000586,15900,23.2,6,15450,15.2,26.6
Tower Hamlets - Spitalfields and Banglatown,00BGGL,E05000587,11800,13.8,5,18416.7,14.2,24.8
Tower Hamlets - Weavers,00BGGM,E05000588,15050,16.5,6.4,17687.5,14.6,26.9
Tower Hamlets - Whitechapel,00BGGN,E05000589,17300,17.4,5.1,17888.9,13.4,25.7
Waltham Forest - Cann Hall,00BHFX,E05000590,14350,22.2,7.3,15833.3,10.8,24
Waltham Forest - Cathall,00BHFY,E05000591,13300,22.2,7.5,12000,11.9,25.1
Waltham Forest - Chapel End,00BHFZ,E05000592,14600,24.6,8.7,8055.6,10.1,22.7
Waltham Forest - Chingford Green,00BHGA,E05000593,10550,17.3,21.7,2851.4,8.4,17.8
Waltham Forest - Endlebury,00BHGB,E05000594,11150,17,18,5525,8.9,19.7
Waltham Forest - Forest,00BHGC,E05000595,13250,20.6,10,6550,9.4,22.8
Waltham Forest - Grove Green,00BHGD,E05000596,15300,21.7,7.6,16833.3,10.8,30.8
Waltham Forest - Hale End and Highams Park,00BHGE,E05000597,12200,21.9,12.2,5195.7,6.9,19.8
Waltham Forest - Hatch Lane,00BHGF,E05000598,11400,19.5,16.2,4729.2,8.1,18.1
Waltham Forest - High Street,00BHGG,E05000599,14850,21.6,7.9,4725.8,10,24.4
Waltham Forest - Higham Hill,00BHGH,E05000600,14200,24.6,8,4328.1,10.3,26.8
Waltham Forest - Hoe Street,00BHGJ,E05000601,14600,22.4,8.4,13090.9,10.7,25.7
Waltham Forest - Larkswood,00BHGK,E05000602,12050,19.5,15.4,5619,11.2,20.4
Waltham Forest - Lea Bridge,00BHGL,E05000603,16250,25.3,8.1,6192.3,11.4,23.6
Waltham Forest - Leyton,00BHGM,E05000604,14950,24.6,7.6,7400,13.4,22.6
Waltham Forest - Leytonstone,00BHGN,E05000605,13450,17.6,8,10269.2,9.9,17.8
Waltham Forest - Markhouse,00BHGP,E05000606,15250,24.2,7.8,9733.3,10.7,25
Waltham Forest - Valley,00BHGQ,E05000607,11850,20.8,13.8,5900,11.5,24.2
Waltham Forest - William Morris,00BHGR,E05000608,13750,23.6,8.2,13650,11.5,23.4
Waltham Forest - Wood Street,00BHGS,E05000609,14150,24.4,9.3,7694.4,12,24.4
Wandsworth - Balham,00BJFZ,E05000610,15050,17.6,8.4,12375,5.5,15.6
Wandsworth - Bedford,00BJGA,E05000611,15100,15.3,7.5,8222.2,8.2,16
Wandsworth - Earlsfield,00BJGB,E05000612,16100,17.3,6.6,11214.3,9.8,21.5
Wandsworth - East Putney,00BJGC,E05000613,15850,14.1,11.1,9625,7,15.3
Wandsworth - Fairfield,00BJGD,E05000614,15350,14.9,7.2,9966.7,7.5,21.2
Wandsworth - Furzedown,00BJGE,E05000615,15850,21.1,9.9,11178.6,10.1,19
Wandsworth - Graveney,00BJGF,E05000616,15700,19.2,9.1,15400,10.9,21.8
Wandsworth - Latchmere,00BJGG,E05000617,15850,19.4,8.9,14181.8,13.7,26.7
Wandsworth - Nightingale,00BJGH,E05000618,14950,18.3,9.1,12291.7,4.1,19.1
Wandsworth - Northcote,00BJGJ,E05000619,15400,21.5,6.6,8852.9,3.4,8.4
Wandsworth - Queenstown,00BJGK,E05000620,20150,14.8,7.4,5718.8,11.1,26
Wandsworth - Roehampton,00BJGL,E05000621,17550,17.5,9.3,3863.6,11.8,21.7
Wandsworth - St. Mary's Park,00BJGM,E05000622,17250,14.8,10.5,12071.4,12.7,24.2
Wandsworth - Shaftesbury,00BJGN,E05000623,14500,14.8,8.3,15944.4,7.8,24.1
Wandsworth - Southfields,00BJGP,E05000624,16750,20.3,8.5,10933.3,6.6,16.5
Wandsworth - Thamesfield,00BJGQ,E05000625,15400,17.2,10,7921.1,4.6,13.6
Wandsworth - Tooting,00BJGR,E05000626,17350,18,9.1,10562.5,10.6,20.3
Wandsworth - Wandsworth Common,00BJGS,E05000627,16350,19.4,8.2,5607.1,8.6,17.2
Wandsworth - West Hill,00BJGT,E05000628,16850,18.8,9.3,9764.7,9.6,20.8
Wandsworth - West Putney,00BJGU,E05000629,15400,17.9,12.9,8388.9,12.4,20.7
Westminster - Abbey Road,00BKGA,E05000630,11500,17.6,14.2,10318.2,8.5,23.2
Westminster - Bayswater,00BKGB,E05000631,10500,13.2,10.6,20700,9.5,22
Westminster - Bryanston and Dorset Square,00BKGC,E05000632,12650,10.6,10.8,17642.9,12.2,34
Westminster - Churchill,00BKGD,E05000633,10550,18.6,11.9,16750,14.6,26.9
Westminster - Church Street,00BKGE,E05000634,12000,22.5,13.8,29750,13.8,26.2
Westminster - Harrow Road,00BKGF,E05000635,12350,18.9,8.5,24300,10.9,29.4
Westminster - Hyde Park,00BKGG,E05000636,13450,13.1,9.7,13000,11.6,21.4
Westminster - Knightsbridge and Belgravia,00BKGH,E05000637,10050,10.4,13.7,2736.1,n/a,n/a
Westminster - Lancaster Gate,00BKGJ,E05000638,13800,11.5,8.4,22416.7,6,22.8
Westminster - Little Venice,00BKGK,E05000639,11050,18.2,10.7,18000,9.1,21.3
Westminster - Maida Vale,00BKGL,E05000640,10550,17.9,9.2,17166.7,8.5,25.2
Westminster - Marylebone High Street,00BKGM,E05000641,11150,9.3,11.3,10750,10,n/a
Westminster - Queen's Park,00BKGN,E05000642,13050,20.2,9.9,21250,11,29.2
Westminster - Regent's Park,00BKGP,E05000643,12500,15.7,16,5326.1,7.5,20.8
Westminster - St. James's,00BKGQ,E05000644,12050,9,11.2,3271.4,12.6,26.1
Westminster - Tachbrook,00BKGR,E05000645,8500,10.3,14.9,20750,13.1,32
Westminster - Vincent Square,00BKGS,E05000646,10500,14.2,12.6,14714.3,10,24.8
Westminster - Warwick,00BKGT,E05000647,9800,10.9,12.1,15916.7,13.5,25.2
Westminster - Westbourne,00BKGU,E05000648,13200,20.8,9,18500,11.7,26.6
Westminster - West End,00BKGW,E05000649,11250,8.7,11.6,5475,n/a,23.9
City of London,00AA,E09000001,8100,8,15.2,2538.1,11.1,23.2
Barking and Dagenham,00AB,E09000002,205450,26.1,9.7,5173.7,13.6,26.1
Barnet,00AC,E09000003,393200,20.9,13.6,4265.1,9.5,18.6
Bexley,00AD,E09000004,237000,20.2,16.7,3679.4,11.6,23
Brent,00AE,E09000005,326350,20.6,11.1,7406.4,12.2,24.1
Bromley,00AF,E09000006,320100,19.7,17.7,2113.8,7.8,16.2
Camden,00AG,E09000007,230300,15.4,11.2,10482.1,9.8,21.4
Croydon,00AH,E09000008,381150,21.7,12.9,4313,11.1,22.2
Ealing,00AJ,E09000009,349350,20.8,11.4,6209,11.2,22.4
Enfield,00AK,E09000010,322150,22.1,12.9,3922.4,12.7,24.5
Greenwich,00AL,E09000011,281550,21.8,10.4,5209.8,13.2,24.8
Hackney,00AM,E09000012,262700,20.4,7.2,13471.7,13.3,25.8
Hammersmith and Fulham,00AN,E09000013,189850,16.8,9.3,10551.6,10.2,23.4
Haringey,00AP,E09000014,269100,19.4,9,8888.3,11.1,23.3
Harrow,00AQ,E09000015,247500,20.3,14.8,4872.3,9.6,20.4
Havering,00AR,E09000016,250350,18.9,18.4,2119.2,10.3,20.2
Hillingdon,00AS,E09000017,289500,21.1,13.1,2485.2,9.6,20.2
Hounslow,00AT,E09000018,263600,20.9,11.2,4670.3,11.2,23.6
Islington,00AU,E09000019,220800,15.9,8.6,14532.5,10.6,22.3
Kensington and Chelsea,00AW,E09000020,161700,15.7,13.6,12573.2,9.2,21.6
Kingston upon Thames,00AX,E09000021,167200,19.3,13.3,4466,6,16.1
Lambeth,00AY,E09000022,320450,17.8,7.7,11516.9,11.5,24.2
Lewisham,00AZ,E09000023,293050,20.7,9.2,8097.4,11,24.6
Merton,00BA,E09000024,206200,20.6,12.2,5460.3,9,20.6
Newham,00BB,E09000025,338000,22.2,6.6,8383.8,12.5,26
Redbridge,00BC,E09000026,292450,22.9,12.2,5135.3,10.6,22.7
Richmond upon Thames,00BD,E09000027,191600,20.5,14.7,3256.3,5.7,11.7
Southwark,00BE,E09000028,308650,18.5,7.7,9976.9,12.8,26.9
Sutton,00BF,E09000029,196400,20.4,15.2,4480.3,8.1,19.2
Tower Hamlets,00BG,E09000030,284300,19.6,5.7,12564.7,12.7,25.6
Waltham Forest,00BH,E09000031,271450,22,10.2,6897,10.6,23.2
Wandsworth,00BJ,E09000032,322750,17.6,8.9,8853.9,9.2,20.1
Westminster,00BK,E09000033,230550,14.7,11.4,10285.8,11.1,25.9
London,H,E12000007,8632850,20,11.4,5292.6,10.8,22.5
England,921,E92000001,54613400,18.9,17.8,413.5,9.4,19.1
