Ward_name,Old_code,New_code,Population_2015,%_Al_Children0_15,%_All_Older_people_aged_65+,Population_density,%_children_obese,%_children_in_year_6_obese
Enfield - Ponders End,00AKHA,E05000206,17050,25.7,9.1,4771.4,16.7,29.6
Enfield - Southbury,00AKHB,E05000207,14950,24.7,10.2,5172.4,12,21.4
Enfield - Southgate,00AKHC,E05000208,14800,19.2,13.9,5537,9.5,17.5
Enfield - Southgate Green,00AKHD,E05000209,14400,17.9,15.7,5538.5,9.7,21.8
Enfield - Town,00AKHE,E05000210,15150,19.8,15.9,6954.5,10.8,20.6
Enfield - Turkey Street,00AKHF,E05000211,14700,24.4,11.8,6434.8,13.4,25.8
Enfield - Upper Edmonton,00AKHG,E05000212,18600,25.7,9.3,6777.8,14.7,30.1
Enfield - Winchmore Hill,00AKHH,E05000213,13700,18.6,15.4,4928.6,6.6,19.3
Greenwich - Abbey Wood,00ALGP,E05000214,16200,26.4,10.2,5722.2,16.6,28.8
Greenwich - Blackheath Westcombe,00ALGQ,E05000215,13300,17.3,15.1,6047.6,6.8,21.9
Greenwich - Charlton,00ALGR,E05000216,14650,22.6,11.2,7050,12.8,26.4
Greenwich - Coldharbour and New Eltham,00ALGS,E05000217,13450,17.4,18.1,5180,10.5,21.9
Greenwich - Eltham North,00ALGT,E05000218,12900,17.6,18.5,4788.5,6.8,16.1
Greenwich - Eltham South,00ALGU,E05000219,13100,15.8,15.7,2717.4,12.1,24.3
Greenwich - Eltham West,00ALGW,E05000220,12500,21.5,11.6,4666.7,13.8,24.4
Greenwich - Glyndon,00ALGX,E05000221,18500,23.6,7.6,10441.2,14.1,24.7
Greenwich - Greenwich West,00ALGY,E05000222,18450,18.8,7.9,6053.6,11.1,25.2
Greenwich - Kidbrooke with Hornfair,00ALGZ,E05000223,14650,19.7,12.5,5854.2,11,24.1
Greenwich - Middle Park and Sutcliffe,00ALHA,E05000224,13900,20.8,15.7,4045.5,11.5,25
Greenwich - Peninsula,00ALHB,E05000225,24500,19,6.2,4155.6,7,20.3
Greenwich - Plumstead,00ALHC,E05000226,17050,23.1,9.3,6854.2,14.1,25.3
Greenwich - Shooters Hill,00ALHD,E05000227,13750,20.2,13.8,3486.8,12.8,22.7
Greenwich - Thamesmead Moorings,00ALHE,E05000228,22200,29.1,5.1,4218.8,16.9,28.9
Greenwich - Woolwich Common,00ALHF,E05000229,19550,26.7,6.2,6903.8,14,26.6
Greenwich - Woolwich Riverside,00ALHG,E05000230,23050,24,6.3,6359.4,15.4,24.1
Hackney - Brownswood,00AMGA,E05000231,13300,13.8,5.7,15187.5,15,28.8
Hackney - Cazenove,00AMGB,E05000232,13800,29.3,6.3,19214.3,12.1,24.5
Hackney - Chatham,00AMGC,E05000233,13950,21.1,6.9,15055.6,17.4,23.8
Hackney - Clissold,00AMGD,E05000234,12650,19.3,7.4,17642.9,8.9,17.6
Hackney - Dalston,00AMGE,E05000235,15950,16.6,6.3,17000,10.6,26.7
Hackney - De Beauvoir,00AMGF,E05000236,15200,15.8,7.1,16000,13.7,30.3
Hackney - Hackney Central,00AMGG,E05000237,13200,17.5,7.7,16000,14.4,25.6
Hackney - Hackney Downs,00AMGH,E05000238,13400,19.5,7.5,13100,10.7,25.7
Hackney - Haggerston,00AMGJ,E05000239,15250,14.5,5.8,12166.7,13.5,29
Hackney - Hoxton,00AMGK,E05000240,16300,15,6.2,19750,14.8,27.6
Hackney - King's Park,00AMGL,E05000241,11650,24.1,9.5,6305.6,14.6,25.5
Hackney - Leabridge,00AMGM,E05000242,14600,20.1,7.3,12954.5,10.7,22.1
Hackney - Lordship,00AMGN,E05000243,12700,28.6,8.2,10333.3,10.1,23.1
Hackney - New River,00AMGP,E05000244,14500,29.2,7.5,13450,18.2,29.1
Hackney - Queensbridge,00AMGQ,E05000245,14450,16.6,8.1,12727.3,12.9,21.8
Hackney - Springfield,00AMGR,E05000246,12800,32.7,7.5,12500,13.5,23.8
Hackney - Stoke Newington Central,00AMGS,E05000247,13050,16.1,7.8,18214.3,10.7,25.6
Hackney - Victoria,00AMGT,E05000248,13750,20.1,7.5,16812.5,14.8,28.6
Hackney - Wick,00AMGU,E05000249,12350,20.9,7.7,7500,15.8,30.8
Hammersmith and Fulham - Addison,00ANGA,E05000250,11650,16.1,7.9,19083.3,6.4,23.8
Hammersmith and Fulham - Askew,00ANGB,E05000251,14300,17.8,8.4,17562.5,9.5,21.6
Hammersmith and Fulham - Avonmore and Brook Green,00ANGC,E05000252,12700,12.2,11,13722.2,11.1,25.3
Hammersmith and Fulham - College Park and Old Oak,00ANGD,E05000253,10700,19.5,8.2,2897.1,12.8,21.8
Hammersmith and Fulham - Fulham Broadway,00ANGE,E05000254,11550,14.4,10,16000,8.3,20
Hammersmith and Fulham - Fulham Reach,00ANGF,E05000255,11800,13.1,8.5,12777.8,12.1,21.1
Hammersmith and Fulham - Hammersmith Broadway,00ANGG,E05000256,12250,16.3,10.4,10954.5,8.7,23
Hammersmith and Fulham - Munster,00ANGH,E05000257,11150,17.1,8.9,18250,10.3,19.5
Hammersmith and Fulham - North End,00ANGJ,E05000258,12650,12.8,6.7,20083.3,8,26
Hammersmith and Fulham - Palace Riverside,00ANGK,E05000259,7600,18.2,15.3,5000,9.1,12.7
Hammersmith and Fulham - Parsons Green and Walham,00ANGL,E05000260,10850,19.3,11.2,11944.4,9.1,23.4
Hammersmith and Fulham - Ravenscourt Park,00ANGM,E05000261,11000,17.7,12.2,9000,7.7,13.1
Hammersmith and Fulham - Sands End,00ANGN,E05000262,13550,18.9,8.6,9321.4,14.5,27.5
Hammersmith and Fulham - Shepherd's Bush Green,00ANGP,E05000263,12950,16.2,8,11318.2,10.7,28.1
Hammersmith and Fulham - Town,00ANGQ,E05000264,11350,17.9,7.8,15928.6,12.5,24.3
Hammersmith and Fulham - Wormholt and White City,00ANGR,E05000265,13750,21.5,9.4,14944.4,10.5,28.2
Haringey - Alexandra,00APGA,E05000266,12050,20.4,11.3,4596.2,4.5,9.9
Haringey - Bounds Green,00APGB,E05000267,14400,17.6,9.4,10035.7,10.6,22.8
Haringey - Bruce Grove,00APGC,E05000268,15050,21.7,8.3,16388.9,14.8,26.4
Haringey - Crouch End,00APGD,E05000269,12800,16.2,10.2,8964.3,2.4,11.6
Haringey - Fortis Green,00APGE,E05000270,13000,19.4,11.5,6400,4.6,9.2
Haringey - Harringay,00APGF,E05000271,14100,15.1,7.6,8562.5,7.8,25.9
Haringey - Highgate,00APGG,E05000272,12100,14.8,11.9,4740,3.8,14.9
Haringey - Hornsey,00APGH,E05000273,13100,17.7,9.1,11727.3,8.2,17.2
Haringey - Muswell Hill,00APGJ,E05000274,11050,16.9,13.5,6411.8,2.7,10.2
Haringey - Noel Park,00APGK,E05000275,14700,17.8,8.2,11958.3,14.2,31.3
Haringey - Northumberland Park,00APGL,E05000276,15150,25.1,7.8,7763.2,17.2,30.5
Haringey - St. Ann's,00APGM,E05000277,16100,17.6,8,14000,11.1,27.6
Haringey - Seven Sisters,00APGN,E05000278,16650,25.3,7.6,12500,10.7,28.6
Haringey - Stroud Green,00APGP,E05000279,12250,15.5,7.8,10909.1,5.8,18.1
Haringey - Tottenham Green,00APGQ,E05000280,15900,20.7,8.1,10928.6,13.9,28.5
Haringey - Tottenham Hale,00APGR,E05000281,17300,22.2,7.6,8552.6,16.5,28.8
Haringey - West Green,00APGS,E05000282,14050,18.3,9.8,9821.4,13.8,26.6
Haringey - White Hart Lane,00APGT,E05000283,13950,23.9,8.2,8058.8,16.2,26.9
Haringey - Woodside,00APGU,E05000284,15400,18.3,8.8,10000,12,23.5
